,Tokens,X,_,Tags,is_negative
237,higher,-X-,_,B-PRICE,False
238,prices,-X-,_,I-PRICE,False
239,.,-X-,_,O,False
240,thank,-X-,_,O,False
241,you,-X-,_,O,False
242,,,,,
243,do,-X-,_,O,False
244,you,-X-,_,O,False
245,not,-X-,_,O,False
246,have,-X-,_,O,False
247,above,-X-,_,B-ATTRIBUTE,False
248,shower,-X-,_,B-PRODUCT,False
249,walls,-X-,_,I-PRODUCT,False
250,?,-X-,_,O,False
251,,,,,
252,hi,-X-,_,O,False
253,i,-X-,_,O,False
254,'m,-X-,_,O,False
255,considering,-X-,_,O,False
256,a,-X-,_,O,False
257,bathtub,-X-,_,B-PRODUCT,False
258,wives,-X-,_,I-PRODUCT,False
259,panel,-X-,_,I-PRODUCT,False
260,.,-X-,_,O,False
261,i,-X-,_,O,False
262,assume,-X-,_,O,False
263,it,-X-,_,O,False
264,does,-X-,_,O,False
265,n't,-X-,_,O,False
266,matter,-X-,_,O,False
267,which,-X-,_,O,False
268,way,-X-,_,O,False
269,the,-X-,_,O,False
270,bathtub,-X-,_,B-PRODUCT,False
271,is,-X-,_,O,False
272,facing,-X-,_,O,False
273,?,-X-,_,O,False
274,,,,,
275,looking,-X-,_,O,False
276,for,-X-,_,O,False
277,a,-X-,_,O,False
278,above,-X-,_,B-ATTRIBUTE,False
279,shower,-X-,_,B-PRODUCT,False
280,base,-X-,_,I-PRODUCT,False
281,.,-X-,_,O,False
282,not,-X-,_,O,False
283,so,-X-,_,O,False
284,much,-X-,_,O,False
285,$,-X-,_,O,False
286,lol,-X-,_,O,False
287,,,,,
288,do,-X-,_,O,False
289,you,-X-,_,O,False
290,have,-X-,_,O,False
291,a,-X-,_,O,False
292,vanity,-X-,_,B-PRODUCT,False
293,tops,-X-,_,I-PRODUCT,False
294,or,-X-,_,O,False
295,wall,-X-,_,B-ATTRIBUTE,False
296,mount,-X-,_,I-ATTRIBUTE,False
297,sink,-X-,_,B-PRODUCT,False
298,without,-X-,_,O,False
299,facet,-X-,_,B-ATTRIBUTE,True
300,holes,-X-,_,I-ATTRIBUTE,True
301,?,-X-,_,O,False
302,,,,,
303,hi,-X-,_,O,False
304,!,-X-,_,O,False
305,!,-X-,_,O,False
306,i,-X-,_,O,False
307,'m,-X-,_,O,False
308,looking,-X-,_,O,False
309,for,-X-,_,O,False
310,a,-X-,_,O,False
311,60,-X-,_,B-SIZE,False
312,'',-X-,_,I-SIZE,False
313,wide,-X-,_,I-SIZE,False
314,tub,-X-,_,B-PRODUCT,False
315,but,-X-,_,O,False
316,a,-X-,_,O,False
317,soaked,-X-,_,B-ATTRIBUTE,False
318,type,-X-,_,I-ATTRIBUTE,False
319,that,-X-,_,O,False
320,s,-X-,_,O,False
321,deeper,-X-,_,B-ATTRIBUTE,False
322,than,-X-,_,O,False
323,a,-X-,_,O,False
324,regular,-X-,_,B-PRODUCT,True
325,tub,-X-,_,I-PRODUCT,True
326,do,-X-,_,O,False
327,you,-X-,_,O,False
328,have,-X-,_,O,False
329,this,-X-,_,O,False
330,type,-X-,_,O,False
331,?,-X-,_,O,False
332,i,-X-,_,O,False
333,do,-X-,_,O,False
334,n't,-X-,_,O,False
335,see,-X-,_,O,False
336,anything,-X-,_,O,False
337,deep,-X-,_,O,False
338,enough,-X-,_,O,False
339,on,-X-,_,O,False
340,your,-X-,_,O,False
341,site,-X-,_,O,False
342,,,,,
343,ok,-X-,_,O,False
344,thanks,-X-,_,O,False
345,.,-X-,_,O,False
346,i,-X-,_,O,False
347,'m,-X-,_,O,False
348,looking,-X-,_,O,False
349,for,-X-,_,O,False
350,a,-X-,_,O,False
351,pure,-X-,_,B-COLOUR,False
352,white,-X-,_,I-COLOUR,False
353,above,-X-,_,B-ATTRIBUTE,False
354,bathtub,-X-,_,B-PRODUCT,False
355,",",-X-,_,O,False
356,not,-X-,_,O,False
357,american,-X-,_,B-ATTRIBUTE,False
358,standard,-X-,_,I-ATTRIBUTE,False
359,or,-X-,_,O,False
360,any,-X-,_,O,False
361,off,-X-,_,B-COLOUR,True
362,whites,-X-,_,I-COLOUR,True
363,.,-X-,_,O,False
364,is,-X-,_,O,False
365,there,-X-,_,O,False
366,one,-X-,_,O,False
367,you,-X-,_,O,False
368,could,-X-,_,O,False
369,recommend,-X-,_,O,False
370,,,,,
371,hi,-X-,_,O,False
372,",",-X-,_,O,False
373,do,-X-,_,O,False
374,you,-X-,_,O,False
375,have,-X-,_,O,False
376,a,-X-,_,O,False
377,navy,-X-,_,B-COLOUR,False
378,mirror,-X-,_,B-PRODUCT,False
379,size,-X-,_,O,False
380,60x31,-X-,_,B-SIZE,False
381,.,-X-,_,O,False
382,you,-X-,_,O,False
383,have,-X-,_,O,False
384,it,-X-,_,O,False
385,for,-X-,_,O,False
386,the,-X-,_,O,False
387,gold,-X-,_,B-COLOUR,True
388,and,-X-,_,O,False
389,black,-X-,_,B-COLOUR,True
390,but,-X-,_,O,False
391,i,-X-,_,O,False
392,do,-X-,_,O,False
393,n't,-X-,_,O,False
394,want,-X-,_,O,False
395,it,-X-,_,O,False
396,for,-X-,_,O,False
397,the,-X-,_,O,False
398,navy,-X-,_,B-COLOUR,False
399,.,-X-,_,O,False
400,,,,,
401,hi,-X-,_,O,False
402,",",-X-,_,O,False
403,i,-X-,_,O,False
404,am,-X-,_,O,False
405,looking,-X-,_,O,False
406,for,-X-,_,O,False
407,a,-X-,_,O,False
408,floating,-X-,_,B-ATTRIBUTE,False
409,vanity,-X-,_,B-PRODUCT,False
410,with,-X-,_,O,False
411,integrated,-X-,_,B-ATTRIBUTE,False
412,sink,-X-,_,I-ATTRIBUTE,False
413,&,-X-,_,O,False
414,counter,-X-,_,B-ATTRIBUTE,False
415,top,-X-,_,I-ATTRIBUTE,False
416,with,-X-,_,O,False
417,no,-X-,_,O,False
418,drill,-X-,_,B-ATTRIBUTE,True
419,holes,-X-,_,I-ATTRIBUTE,True
420,for,-X-,_,O,False
421,the,-X-,_,O,False
422,facet,-X-,_,B-ATTRIBUTE,False
423,as,-X-,_,O,False
424,our,-X-,_,O,False
425,facets,-X-,_,B-ATTRIBUTE,False
426,are,-X-,_,O,False
427,wall,-X-,_,B-ATTRIBUTE,False
428,mounted,-X-,_,I-ATTRIBUTE,False
429,.,-X-,_,O,False
430,do,-X-,_,O,False
431,you,-X-,_,O,False
432,sell,-X-,_,O,False
433,the,-X-,_,O,False
434,,,,,
435,i,-X-,_,O,False
436,am,-X-,_,O,False
437,looking,-X-,_,O,False
438,for,-X-,_,O,False
439,soaked,-X-,_,B-ATTRIBUTE,False
440,tub,-X-,_,B-PRODUCT,False
441,but,-X-,_,O,False
442,do,-X-,_,O,False
443,not,-X-,_,O,False
444,want,-X-,_,O,False
445,stand,-X-,_,B-ATTRIBUTE,True
446,alone,-X-,_,I-ATTRIBUTE,True
447,.,-X-,_,O,False
448,i,-X-,_,O,False
449,am,-X-,_,O,False
450,replacing,-X-,_,O,False
451,my,-X-,_,O,False
452,oval,-X-,_,B-SHAPE,True
453,jacuzzi,-X-,_,B-PRODUCT,True
454,,,,,
455,where,-X-,_,O,False
456,is,-X-,_,O,False
457,the,-X-,_,O,False
458,mirror,-X-,_,B-PRODUCT,False
459,on,-X-,_,O,False
460,here,-X-,_,O,False
461,.,-X-,_,O,False
462,i,-X-,_,O,False
463,do,-X-,_,O,False
464,n't,-X-,_,O,False
465,want,-X-,_,O,False
466,linen,-X-,_,B-MATERIAL,True
467,cabinet,-X-,_,B-PRODUCT,True
468,,,,,
469,hello,-X-,_,O,False
470,",",-X-,_,O,False
471,i,-X-,_,O,False
472,need,-X-,_,O,False
473,a,-X-,_,O,False
474,stand,-X-,_,B-ATTRIBUTE,False
475,shower,-X-,_,B-PRODUCT,False
476,door,-X-,_,I-PRODUCT,False
477,only,-X-,_,O,False
478,",",-X-,_,O,False
479,no,-X-,_,O,False
480,side,-X-,_,B-ATTRIBUTE,True
481,panels,-X-,_,I-ATTRIBUTE,True
482,.,-X-,_,O,False
483,41,-X-,_,B-SIZE,False
484,inches,-X-,_,I-SIZE,False
485,wide,-X-,_,I-SIZE,False
486,,,,,
487,i,-X-,_,O,False
488,'m,-X-,_,O,False
489,looking,-X-,_,O,False
490,for,-X-,_,O,False
491,a,-X-,_,O,False
492,double,-X-,_,B-ATTRIBUTE,False
493,sink,-X-,_,B-PRODUCT,False
494,kitchen,-X-,_,I-PRODUCT,False
495,close,-X-,_,O,False
496,to,-X-,_,O,False
497,52,-X-,_,B-SIZE,False
498,inches,-X-,_,I-SIZE,False
499,no,-X-,_,O,False
500,bigger,-X-,_,B-SIZE,True
501,with,-X-,_,O,False
502,countertop,-X-,_,B-ATTRIBUTE,False
503,,,,,
504,i,-X-,_,O,False
505,'m,-X-,_,O,False
506,looking,-X-,_,O,False
507,for,-X-,_,O,False
508,bypass,-X-,_,O,False
509,shower,-X-,_,B-PRODUCT,False
510,doors,-X-,_,I-PRODUCT,False
511,in,-X-,_,O,False
512,chrome,-X-,_,B-MATERIAL,False
513,with,-X-,_,O,False
514,clear,-X-,_,B-MATERIAL,False
515,glass,-X-,_,I-MATERIAL,False
516,.,-X-,_,O,False
517,the,-X-,_,O,False
518,opening,-X-,_,O,False
519,would,-X-,_,O,False
520,be,-X-,_,O,False
521,for,-X-,_,O,False
522,a,-X-,_,O,False
523,59,-X-,_,B-SIZE,False
524,'',-X-,_,I-SIZE,False
525,width,-X-,_,I-SIZE,False
526,and,-X-,_,O,False
527,the,-X-,_,O,False
528,height,-X-,_,B-SIZE,False
529,i,-X-,_,O,False
530,'m,-X-,_,O,False
531,looking,-X-,_,O,False
532,for,-X-,_,O,False
533,is,-X-,_,O,False
534,76,-X-,_,B-SIZE,False
535,'',-X-,_,I-SIZE,False
536,.,-X-,_,O,False
537,i,-X-,_,O,False
538,do,-X-,_,O,False
539,n't,-X-,_,O,False
540,want,-X-,_,O,False
541,any,-X-,_,O,False
542,rubber,-X-,_,B-MATERIAL,True
543,seals,-X-,_,B-ATTRIBUTE,True
544,around,-X-,_,O,False
545,the,-X-,_,O,False
546,glass,-X-,_,B-MATERIAL,False
547,doors,-X-,_,B-PRODUCT,False
548,.,-X-,_,O,False
549,,,,,
550,i,-X-,_,O,False
551,am,-X-,_,O,False
552,looking,-X-,_,O,False
553,at,-X-,_,O,False
554,the,-X-,_,O,False
555,34,-X-,_,B-SIZE,False
556,'',-X-,_,I-SIZE,False
557,shower,-X-,_,B-PRODUCT,False
558,kit,-X-,_,I-PRODUCT,False
559,with,-X-,_,O,False
560,door,-X-,_,B-ATTRIBUTE,False
561,",",-X-,_,O,False
562,walls,-X-,_,B-ATTRIBUTE,False
563,",",-X-,_,O,False
564,base,-X-,_,B-ATTRIBUTE,False
565,and,-X-,_,O,False
566,glass,-X-,_,B-MATERIAL,False
567,shelves,-X-,_,B-ATTRIBUTE,False
568,.,-X-,_,O,False
569,,,,,
570,can,-X-,_,O,False
571,the,-X-,_,O,False
572,2,-X-,_,B-SIZE,True
573,'',-X-,_,I-SIZE,True
574,backlash,-X-,_,B-ATTRIBUTE,True
575,",",-X-,_,O,False
576,on,-X-,_,O,False
577,the,-X-,_,O,False
578,60,-X-,_,B-SIZE,False
579,'',-X-,_,I-SIZE,False
580,single,-X-,_,B-PRODUCT,False
581,sink,-X-,_,I-PRODUCT,False
582,countertop,-X-,_,I-PRODUCT,False
583,",",-X-,_,O,False
584,be,-X-,_,O,False
585,removed,-X-,_,O,False
586,?,-X-,_,O,False
587,or,-X-,_,O,False
588,is,-X-,_,O,False
589,the,-X-,_,O,False
590,counter,-X-,_,B-PRODUCT,False
591,and,-X-,_,O,False
592,backlash,-X-,_,B-ATTRIBUTE,False
593,one,-X-,_,O,False
594,piece,-X-,_,O,False
595,?,-X-,_,O,False
596,if,-X-,_,O,False
597,so,-X-,_,O,False
598,",",-X-,_,O,False
599,do,-X-,_,O,False
600,you,-X-,_,O,False
601,have,-X-,_,O,False
602,a,-X-,_,O,False
603,single,-X-,_,B-PRODUCT,False
604,sink,-X-,_,I-PRODUCT,False
605,",",-X-,_,O,False
606,white,-X-,_,B-COLOUR,False
607,60,-X-,_,B-SIZE,False
608,'',-X-,_,I-SIZE,False
609,vanity,-X-,_,B-PRODUCT,False
610,with,-X-,_,O,False
611,no,-X-,_,O,False
612,backlash,-X-,_,B-ATTRIBUTE,True
613,piece,-X-,_,I-ATTRIBUTE,True
614,?,-X-,_,O,False
615,,,,,
616,we,-X-,_,O,False
617,'re,-X-,_,O,False
618,looking,-X-,_,O,False
619,for,-X-,_,O,False
620,a,-X-,_,O,False
621,60,-X-,_,B-SIZE,False
622,inch,-X-,_,I-SIZE,False
623,left,-X-,_,B-ATTRIBUTE,False
624,drain,-X-,_,I-ATTRIBUTE,False
625,above,-X-,_,B-ATTRIBUTE,False
626,tub,-X-,_,B-PRODUCT,False
627,which,-X-,_,O,False
628,is,-X-,_,O,False
629,a,-X-,_,O,False
630,soaked,-X-,_,B-ATTRIBUTE,False
631,tub,-X-,_,B-PRODUCT,False
632,with,-X-,_,O,False
633,no,-X-,_,O,False
634,more,-X-,_,O,False
635,than,-X-,_,O,False
636,15,-X-,_,B-SIZE,True
637,'',-X-,_,I-SIZE,True
638,height,-X-,_,I-SIZE,True
639,.,-X-,_,O,False
640,in,-X-,_,O,False
641,white,-X-,_,B-COLOUR,False
642,.,-X-,_,O,False
643,,,,,
644,just,-X-,_,O,False
645,need,-X-,_,O,False
646,glass,-X-,_,B-MATERIAL,False
647,doors,-X-,_,B-PRODUCT,False
648,no,-X-,_,O,False
649,end,-X-,_,B-PRODUCT,True
650,glass,-X-,_,I-PRODUCT,True
651,,,,,
652,do,-X-,_,O,False
653,you,-X-,_,O,False
654,have,-X-,_,O,False
655,chrome,-X-,_,B-MATERIAL,False
656,column,-X-,_,B-SHAPE,False
657,-,-X-,_,B-SHAPE,False
658,style,-X-,_,B-SHAPE,False
659,showthread,-X-,_,B-PRODUCT,False
660,with,-X-,_,O,False
661,body,-X-,_,B-ATTRIBUTE,False
662,jets,-X-,_,I-ATTRIBUTE,False
663,and,-X-,_,O,False
664,rain,-X-,_,B-ATTRIBUTE,False
665,showthread,-X-,_,I-ATTRIBUTE,False
666,,,,,
667,i,-X-,_,O,False
668,live,-X-,_,O,False
669,in,-X-,_,O,False
670,_,-X-,_,O,False
671,_,-X-,_,O,False
672,location,-X-,_,O,False
673,_,-X-,_,O,False
674,_,-X-,_,O,False
675,and,-X-,_,O,False
676,i,-X-,_,O,False
677,am,-X-,_,O,False
678,looking,-X-,_,O,False
679,for,-X-,_,O,False
680,an,-X-,_,O,False
681,acrylic,-X-,_,B-MATERIAL,False
682,(,-X-,_,O,False
683,preference,-X-,_,O,False
684,),-X-,_,O,False
685,or,-X-,_,O,False
686,fiberglass,-X-,_,B-MATERIAL,False
687,shower,-X-,_,B-PRODUCT,False
688,base,-X-,_,I-PRODUCT,False
689,.,-X-,_,O,False
690,i,-X-,_,O,False
691,need,-X-,_,O,False
692,a,-X-,_,O,False
693,50,-X-,_,B-SIZE,False
694,inch,-X-,_,I-SIZE,False
695,wide,-X-,_,I-SIZE,False
696,by,-X-,_,O,False
697,34,-X-,_,B-SIZE,False
698,inch,-X-,_,I-SIZE,False
699,deep,-X-,_,I-SIZE,False
700,with,-X-,_,O,False
701,a,-X-,_,O,False
702,5,-X-,_,B-SIZE,False
703,inch,-X-,_,I-SIZE,False
704,single,-X-,_,B-ATTRIBUTE,False
705,threshold,-X-,_,I-ATTRIBUTE,False
706,,,,,
707,looking,-X-,_,O,False
708,for,-X-,_,O,False
709,a,-X-,_,O,False
710,tub,-X-,_,B-PRODUCT,False
711,/,-X-,_,B-PRODUCT,False
712,shower,-X-,_,B-PRODUCT,False
713,righthand,-X-,_,B-ATTRIBUTE,False
714,and,-X-,_,O,False
715,one,-X-,_,O,False
716,lefthand,-X-,_,B-ATTRIBUTE,False
717,",",-X-,_,O,False
718,what,-X-,_,O,False
719,are,-X-,_,O,False
720,my,-X-,_,O,False
721,options,-X-,_,O,False
722,?,-X-,_,O,False
723,,,,,
724,i,-X-,_,O,False
725,am,-X-,_,O,False
726,looking,-X-,_,O,False
727,for,-X-,_,O,False
728,a,-X-,_,O,False
729,freestanding,-X-,_,B-ATTRIBUTE,False
730,tub,-X-,_,B-PRODUCT,False
731,with,-X-,_,O,False
732,a,-X-,_,O,False
733,bathing,-X-,_,B-ATTRIBUTE,False
734,well,-X-,_,I-ATTRIBUTE,False
735,bottom,-X-,_,I-ATTRIBUTE,False
736,length,-X-,_,B-SIZE,False
737,of,-X-,_,I-SIZE,False
738,45,-X-,_,I-SIZE,False
739,inches,-X-,_,I-SIZE,False
740,minimum,-X-,_,O,False
741,,,,,
742,i,-X-,_,O,False
743,'m,-X-,_,O,False
744,looking,-X-,_,O,False
745,for,-X-,_,O,False
746,a,-X-,_,O,False
747,round,-X-,_,B-SHAPE,False
748,shower,-X-,_,B-PRODUCT,False
749,around,-X-,_,O,False
750,73,-X-,_,B-SIZE,False
751,inches,-X-,_,I-SIZE,False
752,high,-X-,_,I-SIZE,False
753,,,,,
754,i,-X-,_,O,False
755,'m,-X-,_,O,False
756,looking,-X-,_,O,False
757,to,-X-,_,O,False
758,buy,-X-,_,O,False
759,a,-X-,_,O,False
760,42,-X-,_,B-SIZE,False
761,'',-X-,_,I-SIZE,False
762,gaze,-X-,_,B-PRODUCT,False
763,with,-X-,_,O,False
764,no,-X-,_,O,False
765,more,-X-,_,O,False
766,than,-X-,_,O,False
767,21,-X-,_,B-SIZE,True
768,'',-X-,_,I-SIZE,True
769,depth,-X-,_,I-SIZE,True
770,,,,,
771,do,-X-,_,O,False
772,you,-X-,_,O,False
773,have,-X-,_,O,False
774,shelves,-X-,_,B-PRODUCT,False
775,that,-X-,_,O,False
776,mount,-X-,_,O,False
777,to,-X-,_,O,False
778,a,-X-,_,O,False
779,wall,-X-,_,O,False
780,",",-X-,_,O,False
781,no,-X-,_,O,False
782,screw,-X-,_,B-ATTRIBUTE,True
783,30,-X-,_,B-SIZE,False
784,inches,-X-,_,I-SIZE,False
785,,,,,
786,_,-X-,_,B-PRODUCT,False
787,_,-X-,_,B-PRODUCT,False
788,brand,-X-,_,B-PRODUCT,False
789,_,-X-,_,B-PRODUCT,False
790,_,-X-,_,B-PRODUCT,False
791,bathtub,-X-,_,I-PRODUCT,False
792,58,-X-,_,B-SIZE,False
793,in,-X-,_,I-SIZE,False
794,.,-X-,_,O,False
795,x,-X-,_,O,False
796,5,-X-,_,B-SIZE,False
797,in,-X-,_,I-SIZE,False
798,.,-X-,_,O,False
799,4,-X-,_,B-ATTRIBUTE,False
800,-,-X-,_,B-ATTRIBUTE,False
801,jet,-X-,_,B-ATTRIBUTE,False
802,high,-X-,_,I-ATTRIBUTE,False
803,pressure,-X-,_,I-ATTRIBUTE,False
804,shower,-X-,_,B-PRODUCT,False
805,panel,-X-,_,I-PRODUCT,False
806,system,-X-,_,I-PRODUCT,False
807,with,-X-,_,O,False
808,square,-X-,_,B-ATTRIBUTE,False
809,rain,-X-,_,I-ATTRIBUTE,False
810,shower,-X-,_,I-ATTRIBUTE,False
811,head,-X-,_,I-ATTRIBUTE,False
812,and,-X-,_,O,False
813,tub,-X-,_,B-ATTRIBUTE,False
814,filler,-X-,_,I-ATTRIBUTE,False
815,in,-X-,_,O,False
816,matte,-X-,_,B-TEXTURE,False
817,black,-X-,_,B-COLOUR,False
818,model,-X-,_,O,False
819,,,,,
820,yes,-X-,_,O,False
821,",",-X-,_,O,False
822,i,-X-,_,O,False
823,bought,-X-,_,O,False
824,a,-X-,_,O,False
825,tub,-X-,_,B-PRODUCT,False
826,from,-X-,_,O,False
827,you,-X-,_,O,False
828,",",-X-,_,O,False
829,i,-X-,_,O,False
830,am,-X-,_,O,False
831,looking,-X-,_,O,False
832,for,-X-,_,O,False
833,a,-X-,_,O,False
834,adjustable,-X-,_,B-ATTRIBUTE,False
835,screw,-X-,_,B-PRODUCT,False
836,that,-X-,_,O,False
837,attaches,-X-,_,O,False
