Token,Actual Tag,Predicted Tag
soft,I-TEXTURE,O
.,O,O
i,O,O
would,O,O
like,O,O
to,O,O
know,O,O
if,O,O
the,O,O
wool,I-MATERIAL,O
-,I-MATERIAL,O
like,I-MATERIAL,O
top,O,O
side,O,O
is,O,O
soft,I-TEXTURE,O
as,O,O
well,O,O
",",O,O
or,O,O
if,O,O
it,O,O
is,O,O
scratch,I-N-TEXTURE,O
.,O,O
i,O,O
have,O,O
hypersensitive,O,O
skin,O,O
and,O,O
need,O,O
a,O,O
blanket,I-PRODUCT,O
that,O,O
will,O,O
not,O,O
irritated,O,O
me,O,O
.,O,O
thanks,O,O
.,O,O
long,I-SIZE,O
sharp,I-PRODUCT,O
jacket,I-PRODUCT,I-PRODUCT
dark,I-COLOUR,I-COLOUR
brown,I-COLOUR,I-COLOUR
why,O,O
ca,O,O
n't,O,O
i,O,O
find,O,O
it,O,O
?,O,O
hello,O,O
.,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
soft,I-TEXTURE,O
open,I-ATTRIBUTE,O
face,I-ATTRIBUTE,O
cardinal,I-PRODUCT,I-COLOUR
w,O,O
no,O,O
buttons,I-N-ATTRIBUTE,O
.,O,O
hi,O,O
do,O,O
you,O,O
carry,O,O
any,O,O
oval,I-SHAPE,I-SHAPE
stubs,I-PRODUCT,O
in,O,O
a,O,O
matte,I-TEXTURE,I-COLOUR
white,I-COLOUR,I-COLOUR
finish,O,I-COLOUR
or,O,O
not,O,O
too,O,O
much,O,O
of,O,O
gloss,I-N-TEXTURE,O
?,O,O
i,O,O
know,O,O
they,O,O
make,O,O
solid,O,O
surface,O,O
but,O,O
higher,I-PRICE,I-PRICE
prices,I-PRICE,I-PRICE
.,O,O
thank,O,O
you,O,O
do,O,O
you,O,O
not,O,O
have,O,O
above,I-ATTRIBUTE,O
shower,I-PRODUCT,I-N-PRODUCT
walls,I-PRODUCT,I-N-PRODUCT
?,O,O
hi,O,O
i,O,O
'm,O,O
considering,O,O
a,O,O
bathtub,I-PRODUCT,I-PRODUCT
wives,I-PRODUCT,I-PRODUCT
panel,I-PRODUCT,I-PRODUCT
.,O,O
i,O,O
assume,O,O
it,O,O
does,O,O
n't,O,O
matter,O,O
which,O,O
way,O,O
the,O,O
bathtub,I-PRODUCT,O
is,O,O
facing,O,O
?,O,O
looking,O,O
for,O,O
a,O,O
above,I-ATTRIBUTE,I-PRODUCT
shower,I-PRODUCT,I-PRODUCT
base,I-PRODUCT,I-PRODUCT
.,O,O
not,O,O
so,O,O
much,O,O
$,O,O
lol,O,O
do,O,O
you,O,O
have,O,O
a,O,O
vanity,I-PRODUCT,I-PRODUCT
tops,I-PRODUCT,O
or,O,O
wall,I-ATTRIBUTE,I-ATTRIBUTE
mount,I-ATTRIBUTE,I-ATTRIBUTE
sink,I-PRODUCT,I-PRODUCT
without,O,O
facet,I-N-ATTRIBUTE,I-N-ATTRIBUTE
holes,I-N-ATTRIBUTE,I-N-ATTRIBUTE
?,O,O
hi,O,O
!,O,O
!,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
60,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
tub,I-PRODUCT,I-PRODUCT
but,O,O
a,O,O
soaked,I-ATTRIBUTE,O
type,I-ATTRIBUTE,O
that,O,O
s,O,O
deeper,I-ATTRIBUTE,O
than,O,O
a,O,O
regular,I-N-PRODUCT,O
tub,I-N-PRODUCT,O
do,O,O
you,O,O
have,O,O
this,O,O
type,O,O
?,O,O
i,O,O
do,O,O
n't,O,O
see,O,O
anything,O,O
deep,O,O
enough,O,O
on,O,O
your,O,O
site,O,O
ok,O,O
thanks,O,O
.,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
pure,I-COLOUR,O
white,I-COLOUR,I-COLOUR
above,I-ATTRIBUTE,O
bathtub,I-PRODUCT,O
",",O,O
not,O,O
american,I-ATTRIBUTE,O
standard,I-ATTRIBUTE,I-N-ATTRIBUTE
or,O,O
any,O,O
off,I-N-COLOUR,O
whites,I-N-COLOUR,O
.,O,O
is,O,O
there,O,O
one,O,O
you,O,O
could,O,O
recommend,O,O
hi,O,O
",",O,O
do,O,O
you,O,O
have,O,O
a,O,O
navy,I-COLOUR,O
mirror,I-PRODUCT,O
size,O,I-SIZE
60x31,I-SIZE,I-SIZE
.,O,O
you,O,O
have,O,O
it,O,O
for,O,O
the,O,O
gold,I-N-COLOUR,O
and,O,O
black,I-N-COLOUR,I-COLOUR
but,O,O
i,O,O
do,O,O
n't,O,O
want,O,O
it,O,O
for,O,O
the,O,O
navy,I-COLOUR,O
.,O,O
hi,O,O
",",O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
floating,I-ATTRIBUTE,I-PRODUCT
vanity,I-PRODUCT,I-PRODUCT
with,O,O
integrated,I-ATTRIBUTE,I-ATTRIBUTE
sink,I-ATTRIBUTE,I-ATTRIBUTE
&,O,I-ATTRIBUTE
counter,I-ATTRIBUTE,I-PRODUCT
top,I-ATTRIBUTE,I-PRODUCT
with,O,O
no,O,O
drill,I-N-ATTRIBUTE,I-N-ATTRIBUTE
holes,I-N-ATTRIBUTE,O
for,O,O
the,O,O
facet,I-ATTRIBUTE,I-PRODUCT
as,O,O
our,O,O
facets,I-ATTRIBUTE,O
are,O,O
wall,I-ATTRIBUTE,I-ATTRIBUTE
mounted,I-ATTRIBUTE,I-ATTRIBUTE
.,O,O
do,O,O
you,O,O
sell,O,O
the,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
soaked,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
but,O,O
do,O,O
not,O,O
want,O,O
stand,I-N-ATTRIBUTE,O
alone,I-N-ATTRIBUTE,O
.,O,O
i,O,O
am,O,O
replacing,O,O
my,O,O
oval,I-N-SHAPE,I-N-SHAPE
jacuzzi,I-N-PRODUCT,O
where,O,O
is,O,O
the,O,O
mirror,I-PRODUCT,O
on,O,O
here,O,O
.,O,O
i,O,O
do,O,O
n't,O,O
want,O,O
linen,I-N-MATERIAL,I-N-PRODUCT
cabinet,I-N-PRODUCT,I-N-PRODUCT
hello,O,O
",",O,O
i,O,O
need,O,O
a,O,O
stand,I-ATTRIBUTE,I-ATTRIBUTE
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
only,O,O
",",O,O
no,O,O
side,I-N-ATTRIBUTE,I-N-ATTRIBUTE
panels,I-N-ATTRIBUTE,I-N-ATTRIBUTE
.,O,O
41,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
double,I-ATTRIBUTE,I-ATTRIBUTE
sink,I-PRODUCT,I-PRODUCT
kitchen,I-PRODUCT,I-PRODUCT
close,O,O
to,O,O
52,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
no,O,O
bigger,I-N-SIZE,I-N-SIZE
with,O,O
countertop,I-ATTRIBUTE,I-ATTRIBUTE
i,O,O
'm,O,O
looking,O,O
for,O,O
bypass,O,O
shower,I-PRODUCT,I-PRODUCT
doors,I-PRODUCT,I-PRODUCT
in,O,O
chrome,I-MATERIAL,I-MATERIAL
with,O,O
clear,I-MATERIAL,I-MATERIAL
glass,I-MATERIAL,I-MATERIAL
.,O,O
the,O,O
opening,O,O
would,O,O
be,O,O
for,O,O
a,O,O
59,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
width,I-SIZE,I-SIZE
and,O,O
the,O,O
height,I-SIZE,O
i,O,O
'm,O,O
looking,O,O
for,O,O
is,O,O
76,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
.,O,O
i,O,O
do,O,O
n't,O,O
want,O,O
any,O,O
rubber,I-N-MATERIAL,I-N-MATERIAL
seals,I-N-ATTRIBUTE,I-N-ATTRIBUTE
around,O,O
the,O,O
glass,I-MATERIAL,I-MATERIAL
doors,I-PRODUCT,O
.,O,O
i,O,O
am,O,O
looking,O,O
at,O,O
the,O,O
34,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
shower,I-PRODUCT,I-PRODUCT
kit,I-PRODUCT,I-PRODUCT
with,O,O
door,I-ATTRIBUTE,I-ATTRIBUTE
",",O,I-ATTRIBUTE
walls,I-ATTRIBUTE,I-ATTRIBUTE
",",O,O
base,I-ATTRIBUTE,O
and,O,O
glass,I-MATERIAL,I-MATERIAL
shelves,I-ATTRIBUTE,O
.,O,O
can,O,O
the,O,O
2,I-N-SIZE,I-N-SIZE
'',I-N-SIZE,I-N-SIZE
backlash,I-N-ATTRIBUTE,O
",",O,O
on,O,O
the,O,O
60,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
single,I-PRODUCT,I-PRODUCT
sink,I-PRODUCT,I-PRODUCT
countertop,I-PRODUCT,I-PRODUCT
",",O,O
be,O,O
removed,O,O
?,O,O
or,O,O
is,O,O
the,O,O
counter,I-PRODUCT,I-PRODUCT
and,O,O
backlash,I-ATTRIBUTE,O
one,O,O
piece,O,O
?,O,O
if,O,O
so,O,O
",",O,O
do,O,O
you,O,O
have,O,O
a,O,O
single,I-PRODUCT,O
sink,I-PRODUCT,O
",",O,O
white,I-COLOUR,I-COLOUR
60,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
vanity,I-PRODUCT,I-PRODUCT
with,O,O
no,O,O
backlash,I-N-ATTRIBUTE,I-N-ATTRIBUTE
piece,I-N-ATTRIBUTE,O
?,O,O
we,O,O
're,O,O
looking,O,O
for,O,O
a,O,O
60,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
left,I-ATTRIBUTE,I-ATTRIBUTE
drain,I-ATTRIBUTE,I-ATTRIBUTE
above,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
which,O,O
is,O,O
a,O,O
soaked,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
with,O,O
no,O,O
more,O,O
than,O,O
15,I-N-SIZE,I-N-SIZE
'',I-N-SIZE,I-N-SIZE
height,I-N-SIZE,I-N-SIZE
.,O,O
in,O,O
white,I-COLOUR,I-COLOUR
.,O,O
just,O,O
need,O,O
glass,I-MATERIAL,I-MATERIAL
doors,I-PRODUCT,I-PRODUCT
no,O,O
end,I-N-PRODUCT,I-N-ATTRIBUTE
glass,I-N-PRODUCT,I-N-ATTRIBUTE
do,O,O
you,O,O
have,O,O
chrome,I-MATERIAL,I-MATERIAL
column,I-SHAPE,I-PRODUCT
-,I-SHAPE,I-PRODUCT
style,I-SHAPE,I-PRODUCT
showthread,I-PRODUCT,I-PRODUCT
with,O,O
body,I-ATTRIBUTE,I-ATTRIBUTE
jets,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
rain,I-ATTRIBUTE,I-ATTRIBUTE
showthread,I-ATTRIBUTE,I-ATTRIBUTE
i,O,O
live,O,O
in,O,O
_,O,I-SIZE
_,O,I-SIZE
location,O,I-SIZE
_,O,I-SIZE
_,O,I-SIZE
and,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
an,O,O
acrylic,I-MATERIAL,I-MATERIAL
(,O,O
preference,O,O
),O,O
or,O,O
fiberglass,I-MATERIAL,I-MATERIAL
shower,I-PRODUCT,I-PRODUCT
base,I-PRODUCT,I-PRODUCT
.,O,O
i,O,O
need,O,O
a,O,O
50,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
by,O,O
34,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
deep,I-SIZE,I-SIZE
with,O,O
a,O,O
5,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
single,I-ATTRIBUTE,I-ATTRIBUTE
threshold,I-ATTRIBUTE,I-ATTRIBUTE
looking,O,O
for,O,O
a,O,O
tub,I-PRODUCT,I-PRODUCT
/,I-PRODUCT,I-PRODUCT
shower,I-PRODUCT,I-PRODUCT
righthand,I-ATTRIBUTE,I-PRODUCT
and,O,O
one,O,O
lefthand,I-ATTRIBUTE,O
",",O,O
what,O,O
are,O,O
my,O,O
options,O,O
?,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
freestanding,I-ATTRIBUTE,I-ATTRIBUTE
tub,I-PRODUCT,I-PRODUCT
with,O,O
a,O,O
bathing,I-ATTRIBUTE,I-ATTRIBUTE
well,I-ATTRIBUTE,I-ATTRIBUTE
bottom,I-ATTRIBUTE,I-ATTRIBUTE
length,I-SIZE,I-SIZE
of,I-SIZE,I-SIZE
45,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
minimum,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
round,I-SHAPE,I-SHAPE
shower,I-PRODUCT,I-PRODUCT
around,O,O
73,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
high,I-SIZE,I-SIZE
i,O,O
'm,O,O
looking,O,O
to,O,O
buy,O,O
a,O,O
42,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
gaze,I-PRODUCT,I-SIZE
with,O,O
no,O,O
more,O,O
than,O,O
21,I-N-SIZE,I-N-SIZE
'',I-N-SIZE,I-N-SIZE
depth,I-N-SIZE,I-N-SIZE
do,O,O
you,O,O
have,O,O
shelves,I-PRODUCT,I-PRODUCT
that,O,O
mount,O,O
to,O,O
a,O,O
wall,O,I-ATTRIBUTE
",",O,O
no,O,O
screw,I-N-ATTRIBUTE,I-N-ATTRIBUTE
30,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
_,I-PRODUCT,O
_,I-PRODUCT,O
brand,I-PRODUCT,O
_,I-PRODUCT,I-PRODUCT
_,I-PRODUCT,I-PRODUCT
bathtub,I-PRODUCT,I-PRODUCT
58,I-SIZE,I-SIZE
in,I-SIZE,I-SIZE
.,O,O
x,O,O
5,I-SIZE,I-SIZE
in,I-SIZE,I-SIZE
.,O,I-SIZE
4,I-ATTRIBUTE,I-SIZE
-,I-ATTRIBUTE,I-SIZE
jet,I-ATTRIBUTE,I-ATTRIBUTE
high,I-ATTRIBUTE,I-ATTRIBUTE
pressure,I-ATTRIBUTE,I-ATTRIBUTE
shower,I-PRODUCT,I-PRODUCT
panel,I-PRODUCT,I-PRODUCT
system,I-PRODUCT,I-PRODUCT
with,O,O
square,I-ATTRIBUTE,I-SHAPE
rain,I-ATTRIBUTE,I-ATTRIBUTE
shower,I-ATTRIBUTE,I-PRODUCT
head,I-ATTRIBUTE,I-PRODUCT
and,O,O
tub,I-ATTRIBUTE,I-PRODUCT
filler,I-ATTRIBUTE,I-PRODUCT
in,O,O
matte,I-TEXTURE,I-COLOUR
black,I-COLOUR,I-COLOUR
model,O,O
yes,O,O
",",O,O
i,O,O
bought,O,O
a,O,O
tub,I-PRODUCT,I-PRODUCT
from,O,O
you,O,O
",",O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
adjustable,I-ATTRIBUTE,I-ATTRIBUTE
screw,I-PRODUCT,I-PRODUCT
that,O,O
attaches,O,O
to,O,O
the,O,O
plug,O,O
.,O,O
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
60,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
white,I-COLOUR,I-COLOUR
bathtub,I-PRODUCT,I-PRODUCT
that,O,O
is,O,O
freestanding,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
reasonably,I-PRICE,I-PRICE
priced,I-PRICE,I-PRICE
i,O,O
'm,O,O
looking,O,O
for,O,O
flavored,I-N-ATTRIBUTE,I-ATTRIBUTE
mass,I-PRODUCT,I-ATTRIBUTE
gained,I-PRODUCT,I-ATTRIBUTE
protein,I-PRODUCT,I-ATTRIBUTE
do,O,O
you,O,O
have,O,O
a,O,O
wall,I-ATTRIBUTE,I-ATTRIBUTE
mount,I-ATTRIBUTE,I-ATTRIBUTE
sink,I-PRODUCT,I-PRODUCT
without,O,O
a,O,O
facet,I-N-ATTRIBUTE,I-N-ATTRIBUTE
hole,I-N-ATTRIBUTE,I-N-ATTRIBUTE
just,O,O
shower,I-PRODUCT,I-PRODUCT
base,I-PRODUCT,I-PRODUCT
without,O,O
walls,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
'm,O,O
looking,O,O
for,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
unit,I-PRODUCT,I-PRODUCT
",",O,O
60,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
by,O,O
42,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
deep,I-SIZE,I-SIZE
",",O,I-SIZE
with,O,O
no,O,O
seat,I-N-ATTRIBUTE,I-N-ATTRIBUTE
and,O,O
no,O,O
top,I-N-ATTRIBUTE,I-N-ATTRIBUTE
luggage,I-PRODUCT,I-PRODUCT
without,O,O
wheels,I-N-ATTRIBUTE,I-N-ATTRIBUTE
i,O,O
found,O,O
a,O,O
vanity,I-PRODUCT,I-PRODUCT
top,I-PRODUCT,I-PRODUCT
i,O,I-PRODUCT
love,O,O
but,O,O
it,O,O
has,O,O
only,O,O
one,I-N-ATTRIBUTE,O
hole,I-N-ATTRIBUTE,O
for,O,O
taps,I-ATTRIBUTE,O
and,O,O
that,O,O
does,O,O
n't,O,O
suit,O,O
our,O,O
needs,O,O
careless,I-ATTRIBUTE,I-ATTRIBUTE
shower,I-PRODUCT,I-PRODUCT
walk,I-ATTRIBUTE,O
in,I-ATTRIBUTE,O
stubs,I-PRODUCT,O
for,O,O
seniors,I-ATTRIBUTE,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
about,O,O
30,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
i,O,O
need,O,O
a,O,O
toilet,I-PRODUCT,I-PRODUCT
that,O,O
is,O,O
only,O,O
28,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
high,I-SIZE,I-SIZE
hi,O,O
",",O,O
i,O,O
am,O,O
looking,O,O
for,O,O
bathroom,I-PRODUCT,I-PRODUCT
ed,I-PRODUCT,I-PRODUCT
mirrors,I-PRODUCT,I-PRODUCT
that,O,O
are,O,O
24,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
.,O,O
that,O,O
are,O,O
hard,I-ATTRIBUTE,I-ATTRIBUTE
wired,I-ATTRIBUTE,I-ATTRIBUTE
and,O,O
can,O,O
be,O,O
turned,I-ATTRIBUTE,O
on,I-ATTRIBUTE,O
from,I-ATTRIBUTE,O
the,I-ATTRIBUTE,O
mirror,I-ATTRIBUTE,O
denim,I-MATERIAL,I-COLOUR
skirts,I-PRODUCT,O
?,O,O
touch,O,O
of,O,O
linen,I-MATERIAL,I-MATERIAL
button,I-ATTRIBUTE,I-PRODUCT
skirt,I-PRODUCT,I-PRODUCT
in,O,O
patterned,I-COLOUR,I-COLOUR
white,I-COLOUR,I-COLOUR
colour,I-COLOUR,I-COLOUR
base,I-PRODUCT,I-PRODUCT
cabinet,I-PRODUCT,I-PRODUCT
42,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
long,I-SIZE,I-SIZE
do,O,O
you,O,O
have,O,O
the,O,O
sweater,I-PRODUCT,I-PRODUCT
in,O,O
medium,I-SIZE,O
?,O,O
hi,O,O
.,O,O
do,O,O
you,O,O
have,O,O
sheer,I-PRODUCT,I-PRODUCT
curtains,I-PRODUCT,I-PRODUCT
which,O,O
i,O,O
can,O,O
place,O,O
on,O,O
hooks,I-ATTRIBUTE,O
instead,O,O
of,O,O
a,O,O
rod,I-N-ATTRIBUTE,I-N-ATTRIBUTE
looking,O,O
for,O,O
grey,I-COLOUR,I-PRODUCT
bravery,I-PRODUCT,I-PRODUCT
panels,I-PRODUCT,I-PRODUCT
10,I-SIZE,I-SIZE
feet,I-SIZE,I-SIZE
in,I-SIZE,I-SIZE
length,I-SIZE,I-SIZE
twin,O,O
white,I-COLOUR,I-COLOUR
sleeveless,I-ATTRIBUTE,I-ATTRIBUTE
button,I-ATTRIBUTE,I-ATTRIBUTE
closure,I-ATTRIBUTE,I-ATTRIBUTE
top,I-PRODUCT,I-PRODUCT
do,O,O
you,O,O
have,O,O
waterproof,I-ATTRIBUTE,I-ATTRIBUTE
queen,I-SIZE,I-SIZE
size,I-SIZE,I-SIZE
mattress,I-PRODUCT,I-PRODUCT
protectors,I-PRODUCT,I-PRODUCT
for,O,O
over,O,O
18,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
actresses,O,O
?,O,O
looking,O,O
for,O,O
mercerized,O,I-ATTRIBUTE
cotton,I-MATERIAL,I-ATTRIBUTE
high,I-ATTRIBUTE,I-ATTRIBUTE
-,I-ATTRIBUTE,I-ATTRIBUTE
performance,I-ATTRIBUTE,I-ATTRIBUTE
t,I-PRODUCT,I-PRODUCT
-,I-PRODUCT,I-PRODUCT
shirt,I-PRODUCT,I-PRODUCT
in,O,O
size,I-SIZE,I-SIZE
medium,I-SIZE,I-SIZE
are,O,O
the,O,O
round,I-ATTRIBUTE,I-SHAPE
velvet,I-MATERIAL,I-MATERIAL
floor,I-PRODUCT,I-PRODUCT
cushion,I-PRODUCT,I-PRODUCT
available,O,O
in,O,O
store,O,O
?,O,O
i,O,O
would,O,O
like,O,O
the,O,O
sweater,I-PRODUCT,I-PRODUCT
as,O,O
well,O,O
as,O,O
the,O,O
icons,I-PRODUCT,I-PRODUCT
pencil,I-PRODUCT,I-PRODUCT
skirt,I-PRODUCT,I-PRODUCT
in,O,O
green,I-COLOUR,I-COLOUR
sleepless,I-ATTRIBUTE,I-ATTRIBUTE
sweater,I-PRODUCT,I-PRODUCT
flavored,I-N-ATTRIBUTE,O
sweetened,I-N-ATTRIBUTE,O
do,O,O
you,O,O
have,O,O
the,O,O
stainless,I-MATERIAL,I-MATERIAL
steel,I-MATERIAL,I-MATERIAL
shaker,I-PRODUCT,I-PRODUCT
cups,I-PRODUCT,I-PRODUCT
i,O,O
am,O,O
looking,O,O
for,O,O
flavor,I-PRODUCT,I-PRODUCT
powders,I-PRODUCT,I-PRODUCT
which,O,O
i,O,O
can,O,O
use,O,O
in,O,O
yogurt,O,O
for,O,O
example,O,O
hi,O,O
",",O,O
do,O,O
you,O,O
sell,O,O
fingerless,I-ATTRIBUTE,I-ATTRIBUTE
gloves,I-PRODUCT,I-PRODUCT
please,O,I-PRODUCT
need,O,O
an,O,O
inexpensive,I-PRICE,I-PRICE
thermostatic,I-PRODUCT,I-PRODUCT
shower,I-PRODUCT,I-PRODUCT
set,I-PRODUCT,I-PRODUCT
with,O,O
an,O,O
extra,I-ATTRIBUTE,I-ATTRIBUTE
outlet,I-ATTRIBUTE,I-ATTRIBUTE
for,O,O
biden,O,O
.,O,O
can,O,O
you,O,O
suggest,O,O
a,O,O
couple,O,O
.,O,O
hi,O,O
",",O,O
can,O,O
i,O,O
put,O,O
a,O,O
tackles,I-N-ATTRIBUTE,I-PRODUCT
toilet,I-PRODUCT,I-PRODUCT
into,O,O
a,O,O
2,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
4,I-SIZE,I-SIZE
'',I-SIZE,I-SIZE
wall,O,I-ATTRIBUTE
?,O,O
i,O,O
am,O,O
looking,O,O
for,O,O
a,O,O
left,I-ATTRIBUTE,I-PRODUCT
offset,I-ATTRIBUTE,I-PRODUCT
vanity,I-PRODUCT,I-PRODUCT
set,I-PRODUCT,I-PRODUCT
up,O,O
to,O,O
48,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
",",O,O
white,I-COLOUR,I-COLOUR
",",O,O
brushed,I-ATTRIBUTE,O
nickel,I-MATERIAL,O
hardware,I-ATTRIBUTE,O
seamless,I-ATTRIBUTE,I-ATTRIBUTE
undermount,I-PRODUCT,I-PRODUCT
touches,I-N-ATTRIBUTE,O
kitchen,I-PRODUCT,I-PRODUCT
facet,I-PRODUCT,I-PRODUCT
looking,O,O
for,O,O
bowl,I-PRODUCT,I-PRODUCT
with,O,O
pattern,I-ATTRIBUTE,I-ATTRIBUTE
les,O,O
than,O,O
5,I-N-SIZE,I-SIZE
inches,I-N-SIZE,I-SIZE
deep,I-N-SIZE,I-SIZE
.,O,O
can,O,O
be,O,O
7,I-SIZE,I-SIZE
inches,I-SIZE,I-SIZE
wide,I-SIZE,I-SIZE
looking,O,O
shower,I-PRODUCT,I-PRODUCT
door,I-PRODUCT,I-PRODUCT
frameless,I-ATTRIBUTE,I-ATTRIBUTE
of,O,O
60,I-SIZE,I-SIZE
inch,I-SIZE,I-SIZE
standing,I-ATTRIBUTE,I-ATTRIBUTE
shower,I-PRODUCT,I-PRODUCT
do,O,O
you,O,O
sell,O,O
