Tokens,Tags,sentence
extra,B-ATTRIBUTE,64
outlet,I-ATTRIBUTE,64
for,O,64
bidet.,O,64
Can,O,64
you,O,64
suggest,O,64
a,O,64
couple.,O,64
"hi,",O,65
can,O,65
I,O,65
put,O,65
a,O,65
tankless,B-N-ATTRIBUTE,65
toilet,B-PRODUCT,65
into,O,65
a,O,65
"2""x",B-SIZE,65
"4""",B-SIZE,65
wall?,O,65
I,O,66
am,O,66
looking,O,66
for,O,66
a,O,66
left,B-ATTRIBUTE,66
offset,I-ATTRIBUTE,66
vanity,B-PRODUCT,66
set,I-PRODUCT,66
up,O,66
to,O,66
48,B-SIZE,66
inches,I-SIZE,66
"wide,",I-SIZE,66
"white,",B-COLOUR,66
brushed,B-ATTRIBUTE,66
nickel,B-MATERIAL,66
hardware,B-ATTRIBUTE,66
seamless,B-N-ATTRIBUTE,67
undermount,B-PRODUCT,67
Touchless,B-N-ATTRIBUTE,68
kitchen,B-PRODUCT,68
faucet,I-PRODUCT,68
Looking,O,69
for,O,69
bowl,B-PRODUCT,69
with,O,69
pattern,B-ATTRIBUTE,69
LESS,O,69
than,O,69
5,B-N-SIZE,69
inches,I-N-SIZE,69
deep.,I-N-SIZE,69
Can,O,69
be,O,69
7,B-SIZE,69
inches,I-SIZE,69
wide,I-SIZE,69
Looking,O,70
shower,B-PRODUCT,70
door,I-PRODUCT,70
frameless,B-N-ATTRIBUTE,70
of,O,70
60,B-SIZE,70
inch,I-SIZE,70
standing,B-ATTRIBUTE,70
shower,B-PRODUCT,70
Do,O,71
you,O,71
sell,O,71
beige,B-COLOUR,71
toilets.,B-PRODUCT,71
Bone,B-N-COLOUR,71
and,O,71
buscuit,B-N-COLOUR,71
are,O,71
too,O,71
light,O,71
in,O,71
colour,O,71
We're,O,72
looking,O,72
for,O,72
a,O,72
shower,B-PRODUCT,72
door,I-PRODUCT,72
set,I-PRODUCT,72
greater,O,72
than,O,72
70,B-SIZE,72
inches,I-SIZE,72
wide,I-SIZE,72
18,B-SIZE,73
inch,I-SIZE,73
deep,I-SIZE,73
by,O,73
36,B-SIZE,73
inches,I-SIZE,73
long,I-SIZE,73
brown,B-COLOUR,73
freestanding,B-ATTRIBUTE,73
vanity,B-PRODUCT,73
Looking,O,74
for,O,74
a,O,74
36,B-SIZE,74
inch,I-SIZE,74
vanity,B-PRODUCT,74
with,O,74
granite,B-MATERIAL,74
top,B-ATTRIBUTE,74
I,O,75
am,O,75
looking,O,75
for,O,75
bathroom,B-PRODUCT,75
mirrors,I-PRODUCT,75
black,B-COLOUR,75
framed,B-ATTRIBUTE,75
in,O,75
rectangular,B-SHAPE,75
and,O,75
oval,B-SHAPE,75
looking,O,76
at,O,76
36,B-SIZE,76
inch,I-SIZE,76
medicine,B-PRODUCT,76
cabinet,I-PRODUCT,76
for,O,76
$399,B-PRICE,76
.,O,76
is,O,76
it,O,76
recessed,O,76
able,O,76
to,O,76
fit,O,76
into,O,76
wall,O,76
as,O,76
a,O,76
flush,O,76
mount?,O,76
Vessel,B-PRODUCT,77
bag,I-PRODUCT,77
in,O,77
goldish,B-COLOUR,77
color,O,77
Looking,O,78
for,O,78
protein,B-PRODUCT,78
powder,I-PRODUCT,78
no,O,78
carb,B-N-ATTRIBUTE,78
no,O,78
suger,B-N-ATTRIBUTE,78
I,O,79
am,O,79
brand,O,79
new,O,79
to,O,79
fat,B-PRODUCT,79
"burners,",I-PRODUCT,79
I,O,79
want,O,79
to,O,79
know,O,79
a,O,79
good,O,79
fat,B-PRODUCT,79
burner,I-PRODUCT,79
to,O,79
see,O,79
good,O,79
results.,O,79
i,O,80
want,O,80
protein,B-PRODUCT,80
without,O,80
lactose,B-N-ATTRIBUTE,80
I'm,O,81
looking,O,81
for,O,81
whey,B-PRODUCT,81
proteine,I-PRODUCT,81
with,O,81
not,O,81
soy,B-N-ATTRIBUTE,81
in,O,81
it!,O,81
"Hi,",O,82
I,O,82
am,O,82
looking,O,82
for,O,82
a,O,82
whey,B-PRODUCT,82
protein,I-PRODUCT,82
with,O,82
not,O,82
"soy,",B-N-ATTRIBUTE,82
does,O,82
it,O,82
even,O,82
exist?,O,82
I'm,O,83
looking,O,83
for,O,83
a,O,83
supplement,B-PRODUCT,83
to,O,83
help,O,83
me,O,83
get,O,83
back,O,83
into,O,83
ketosis,B-ATTRIBUTE,83
",",O,83
but,O,83
not,O,83
a,O,83
pill.,B-N-ATTRIBUTE,83
Something,O,83
I,O,83
can,O,83
mix,O,83
in,O,83
my,O,83
water.,O,83
Looking,O,84
for,O,84
a,O,84
testosterone,B-PRODUCT,84
supplment,I-PRODUCT,84
and,O,84
I,O,84
have,O,84
no,O,84
idea,O,84
which,O,84
one,O,84
to,O,84
buy,O,84
"Hi,",O,85
I,O,85
would,O,85
like,O,85
to,O,85
have,O,85
a,O,85
protein,B-PRODUCT,85
powder,I-PRODUCT,85
without,O,85
caffeine,B-N-ATTRIBUTE,85
i,O,86
am,O,86
looking,O,86
for,O,86
a,O,86
very,O,86
good,O,86
fat,B-PRODUCT,86
burner,I-PRODUCT,86
thats,O,86
not,O,86
too,O,86
heavy,B-N-ATTRIBUTE,86
in,I-N-ATTRIBUTE,86
stimulants.,I-N-ATTRIBUTE,86
I,O,87
saw,O,87
a,O,87
sweater,B-PRODUCT,87
block,I-PRODUCT,87
with,O,87
multi,B-COLOUR,87
colour,I-COLOUR,87
yesterday.,O,87
I,O,87
wish,O,87
to,O,87
order,O,87
and,O,87
now,O,87
can't,O,87
find..,O,87
I'm,O,88
looking,O,88
for,O,88
a,O,88
polo,B-PRODUCT,88
shirt,I-PRODUCT,88
with,O,88
no,O,88
logo,B-N-ATTRIBUTE,88
on,O,88
it.,O,88
Hi,O,89
looking,O,89
for,O,89
the,O,89
toque,B-PRODUCT,89
and,O,89
neck,B-PRODUCT,89
tube,I-PRODUCT,89
displayed,O,89
in,O,89
the,O,89
woman's,B-ATTRIBUTE,89
ski,B-PRODUCT,89
jacket,I-PRODUCT,89
the,O,89
jacket,B-PRODUCT,89
color,O,89
that,O,89
is,O,89
light,B-COLOUR,89
blue,I-COLOUR,89
and,O,89
green,B-COLOUR,89
",",O,89
the,O,89
tuque,B-PRODUCT,89
and,O,89
neck,B-PRODUCT,89
tube,I-PRODUCT,89
is,O,89
a,O,89
dusty,B-COLOUR,89
pink,I-COLOUR,89
sort,O,89
of,O,89
"color,",O,89
I,O,89
can't,O,89
find,O,89
it,O,89
anywhere,O,89
on,O,89
sight,O,89
i,O,89
see,O,89
simiar,O,89
items,O,89
but,O,89
want,O,89
a,O,89
matching,O,89
set,O,89
I,O,90
am,O,90
looking,O,90
for,O,90
a,O,90
bomber,B-ATTRIBUTE,90
style,I-ATTRIBUTE,90
jacket,B-PRODUCT,90
2,B-SIZE,90
XS,I-SIZE,90
no,O,90
hoody,B-N-ATTRIBUTE,90
",",O,90
and,O,90
black,B-COLOUR,90
Women's,B-ATTRIBUTE,91
pyjama,B-PRODUCT,91
pants,I-PRODUCT,91
without,O,91
waistband,B-N-ATTRIBUTE,91
Good,O,92
morning,O,92
I,O,92
am,O,92
looking,O,92
for,O,92
a,O,92
puffer,B-PRODUCT,92
vest,I-PRODUCT,92
three-quarter,B-SIZE,92
length,I-SIZE,92
I've,O,92
seen,O,92
them,O,92
On,O,92
the,O,92
website,O,92
but,O,92
no,O,92
longer,O,92
there,O,92
Good,O,93
"morning,",O,93
I,O,93
would,O,93
like,O,93
to,O,93
buy,O,93
the,O,93
product,B-PRODUCT,93
"below,",O,93
size,B-SIZE,93
M:,I-SIZE,93
How,O,93
can,O,93
I,O,93
proceed,O,93
with,O,93
this,O,93
purchase?,O,93
It,O,93
doesn't,O,93
seem,O,93
to,O,93
be,O,93
available,O,93
at,O,93
the,O,93
moment,O,93
Want,O,94
to,O,94
order,O,94
Women's,B-ATTRIBUTE,94
warm,B-ATTRIBUTE,94
waterproof,B-ATTRIBUTE,94
snow,B-PRODUCT,94
boots,I-PRODUCT,94
in,O,94
size,B-SIZE,94
8,I-SIZE,94
.,O,94
Doesn't,O,94
say,O,94
out,O,94
of,O,94
stock,O,94
but,O,94
can't,O,94
put,O,94
order,O,94
in.,O,94
Please,O,94
advise.,O,94
"Hi,",O,95
I'm,O,95
interested,O,95
in,O,95
the,O,95
women's,B-ATTRIBUTE,95
waterproof,I-ATTRIBUTE,95
mountain,B-PRODUCT,95
walking,I-PRODUCT,95
jacket,I-PRODUCT,95
in,O,95
green,B-COLOUR,95
but,O,95
the,O,95
website,O,95
only,O,95
gives,O,95
the,O,95
option,O,95
for,O,95
size,B-N-SIZE,95
XS,I-N-SIZE,95
and,O,95
does,O,95
not,O,95
allow,O,95
to,O,95
